mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
41.88,4.47,-47.30,-0.79,0.00,0.55,-0.04,-0.03,1.00,idle
42.54,4.55,-48.24,-0.73,-0.12,0.49,-0.04,-0.03,1.00,idle
41.70,4.48,-46.23,-0.73,0.00,0.49,-0.04,-0.03,1.00,idle
42.21,4.83,-46.62,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.42,4.75,-46.61,-0.79,0.00,0.24,-0.04,-0.03,1.00,idle
43.08,4.41,-46.73,-0.61,0.12,0.49,-0.04,-0.03,1.00,idle
42.18,4.90,-47.61,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.63,4.80,-47.60,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.37,5.38,-47.55,-0.73,0.06,0.55,-0.04,-0.03,1.00,idle
42.24,4.79,-46.40,-0.92,0.12,0.37,-0.04,-0.03,1.00,idle
42.24,4.87,-48.08,-0.85,-0.06,0.37,-0.04,-0.03,1.00,idle
42.22,4.69,-47.13,-0.79,0.00,0.31,-0.04,-0.03,1.00,idle
42.15,5.37,-47.66,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.26,4.74,-46.81,-0.73,0.18,0.49,-0.04,-0.03,1.00,idle
42.13,5.07,-46.30,-0.85,0.00,0.55,-0.04,-0.03,1.00,idle
42.43,5.03,-46.64,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.27,5.33,-46.72,-0.55,-0.06,0.31,-0.04,-0.03,1.00,idle
42.68,4.77,-46.58,-0.85,0.12,0.49,-0.04,-0.03,1.00,idle
42.71,4.86,-47.25,-0.79,-0.06,0.43,-0.04,-0.03,1.00,idle
42.59,4.72,-47.18,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.65,4.93,-46.95,-0.79,0.12,0.37,-0.04,-0.03,1.00,idle
42.14,5.09,-47.34,-0.73,-0.06,0.55,-0.04,-0.03,1.00,idle
42.42,4.50,-46.46,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
